product_name,brand_parent_company,product_brand,product_type,marketed_gender,retailer,size,size_measurement,count,price,price_per_unit,url,ingrediants
Walgreen's Beauty Women's Shave Gel,Walgreens Boots Alliance,Walgreens,Shaving Cream,F,Walgreens,7,oz,1,2.99,0.427142857,https://www.walgreens.com/store/c/walgreens-beauty-women's-shave-gel/ID=300422887-product,"water, palmitic acid, triethanolamine, isopentane, sunflower seed oil glyceride, glycerin, propylene glycol, stearic acid, sorbitol, isobutane, acrylic acid/vp crosspolymer, lanolin alcohol, fragrance, tocopheryl acetate, hydroxypropyl methylcellulose, peg-90m, hydrogenated olive oil, olea europaea (olive) fruit oil, hydroxyethylcellulose, titanium dioxide, red 40"
Walgreen's Beauty Men's Sensitive Shave Gel,Walgreens Boots Alliance,Walgreens,Shaving Cream,M,Walgreens,7,oz,1,2.99,0.427142857,https://www.walgreens.com/store/c/walgreens-beauty-men's-sensitive-shave-gel/ID=300422886-product,"water, palmitic acid, triethanolamine, isopentane, sunflower seed oil glyceride, glycerin, propylene glycol, stearic acid, sorbitol, aloe barbadensis leaf juice, fragrance, acrylic acid/vp crosspolymer, isobutane, hydroxypropyl methylcellulose, peg-90m, hydroxyethylcellulose, blue 1"
"Gillette Satin Care Ultra Sensitive Womens Shave Gel, 7 Oz",Proctor & Gamble,Gillette,Shaving Cream,F,Walmart,7,oz,1,6.23,0.89,https://www.walmart.com/ip/Gillette-Satin-Care-Ultra-Sensitive-Womens-Shave-Gel-7-Oz/38587425?athbdg=L1600,"water/eau, glycerin, palmitic acid, triethanolamine, stearic acid, isopentane, glyceryl oleate, isobutane, sorbitol, fragrance/parfum, hydroxyethylcellulose, ptfe, peg-90m, peg-23m, propylene glycol, butyrospermum parkii (shea butter) extract, hydrolyzed silk, blue 1, glycol"
"Gillette Barbershop Fresh Shave Gel for Sensitive Skin, 7 oz",Proctor & Gamble,Gillette,Shaving Cream,M,Walmart,7,oz,1,5.03,0.718571429,https://www.walmart.com/ip/Gillette-Barbershop-Fresh-Shave-Gel-for-Sensitive-Skin-7-oz/395773972,"water, palmitic acid, triethanolamine, isopentane, glyceryl oleate, stearic acid, sorbitol, isobutane, hydroxyethylcellulose, fragrance, peg-90m, peg-23m, yellow 8, blue 1"
"Skintimate Skin Therapy Dry Skin Women's Shave Gel Twin Pack, 14 Oz.",Edgewell Personal Care,Skintimate,Shaving Cream,F,Walmart,7,oz,2,5.34,0.381428571,https://www.walmart.com/ip/Skintimate-Skin-Therapy-Dry-Skin-Women-s-Shave-Gel-Twin-Pack-14-Oz/20557859,"water, palmitic acid, triethanolamine, sunflower seed oil, glyceride, isopentane, sorbitol, stearic acid, isobutane, lanolin alcohol, pvp, tocopheryl acetate, peg-90m, hydrogenated vegetable oil, olea europaea (olive) fruit oil, fragrance, titanium dioxide, red 40."
"Edge Sensitive Skin Shave Gel for Men with Aloe, Twin Pack, 14 oz",Edgewell Personal Care,Edge,Shaving Cream,M,Walmart,7,oz,2,5.99,0.427857143,https://www.walmart.com/ip/Edge-Sensitive-Skin-Shave-Gel-for-Men-with-Aloe-Twin-Pack-14-oz/20557858?athbdg=L1200,"water, palmitic acid, triethanolamine, sunflower seed oil glyceride, isopentane, sorbitol, stearic acid, isobutane, pvp, fragrance, glycerin, tocopheryl acetate, peg-90m, aloe barbadensis leaf juice, blue 1.peg-115m, ceramide ng, titanium dioxide, zinc stearate, cyclodextrin, aloe barbadensis leaf juice, avena sativa (oat) kernel flour, panthenol, sodium hyaluronate, tocopherol, maltodextrin, water"
"Equate Shave Gel with Argan Oil, Coconut, 7 oz",Walmart,Equate,Shaving Cream,F,Walmart,7,oz,1,1.98,0.282857143,https://www.walmart.com/ip/Equate-Shave-Gel-with-Argan-Oil-Coconut-7-oz/560486688,
"Equate Sensitive Skin Shave Gel With Aloe, 7 oz",Walmart,Equate,Shaving Cream,M,Walmart,7,oz,1,1.97,0.281428571,https://www.walmart.com/ip/Equate-Sensitive-Skin-Shave-Gel-With-Aloe-7-oz/230378824,
"Flamingo Women's Foaming Shave Gel with Aloe Vera, 6.7 oz",Direct to Consumer,Flamingo,Shaving Cream,F,Walmart,6.7,oz,1,4.97,0.741791045,https://www.walmart.com/ip/Flamingo-Women-s-Foaming-Shave-Gel-with-Aloe-Vera-6-7-oz/572380145,"water/aqua/eau, aloe barbadensis (aloe vera) leaf juice, palmitic acid, triethanolamine, isopentane, stearic acid, laureth-23, sorbitol, isobutane, glyceryl oleate, fragrance/parfum, phenoxyethanol, glycerin, hydroxyethylcellulose, bisabolol, allantoin, titanium dioxide (ci 77891), hydroxypropylcellulose, sodium nitrate, silica, sodium acetate, butylphenylmethylpropional"
"Harry's Shave Gel, Men's Shaving Gel with Aloe, Net Wt 6.7 oz",Direct to Consumer,Harry's,Shaving Cream,M,Walmart,6.7,oz,1,6,0.895522388,https://www.walmart.com/ip/Harry-s-Shave-Gel-Men-s-Shaving-Gel-with-Aloe-Net-Wt-6-7-oz/753762237,"water (aqua), palmitic acid, triethanolamine, aloe barbadensis (aloe vera) leaf juice, sorbitan stearate, methyl gluceth-20, stearic acid, sorbitol, sodium hyaluronate, tocopheryl acetate, panthenol, citrus aurantium bergamia (bergamot) fruit oil, cucumis sativus (cucumber) fruit extract, glycyrrhiza glabra (licorice) root extract, silybum marianum (milk thistle) extract, peg-40 hydrogenated castor oil, sun ower seed oil glycerides, hydroxyethylcellulose, dimethicone peg/ppg-20/23 benzoate, dimethicone peg-8 benzoate, hydroxypropyl methylcellulose, glycerin, diethanolamine, sodium nitrate, sodium chloride, butylene glycol, fragrance (parfum), phenoxyethanol, chlorphenesin, benzoic acid, sorbic acid, blue 1 (ci 42090)"
